Colonia;Habitaciones;Garages;Suites;Area;Valor;Condominio;Impuesto
San Pedro de los Pinos;2;0;0;74;7000.0;2380.0;343.0
Santa Fe;2;1;1;80;7000.0;4200.0;525.0
Condesa;3;1;0;122;9450.0;4907.0;654.5
Polanco;2;2;1;74;10325.0;4980.5;679.0
Santa Fe;2;1;1;98;10150.0;3780.0;581.0
Santa Fe;3;2;1;122;9100.0;3482.5;903.0
Doctores;2;0;0;76;3850.0;1225.0;630.0
Condesa;2;2;1;81;9100.0;1991.5;94.5
Bosques de las Lomas;2;2;1;90;9800.0;5285.0;1263.5
Condesa;2;1;1;80;9100.0;2905.0;693.0
Santa Fe;2;1;1;87;7000.0;4200.0;654.5
San Miguel Chapultepec;2;1;1;72;9100.0;1225.0;0.0
Santa Fe;2;1;1;85;6300.0;3850.0;483.0
Del Valle;3;0;0;112;6650.0;3482.5;598.5
San Miguel Chapultepec;2;1;1;101;6650.0;2450.0;497.0
Narvarte;2;1;1;87;8750.0;1925.0;0.0
San Miguel Chapultepec;2;1;0;97;5600.0;2170.0;98.0
Narvarte;3;2;1;110;8050.0;4200.0;595.0
Santa Fe;2;1;1;88;8750.0;3675.0;630.0
Ciudad de los Deportes;2;1;0;93;2450.0;2450.0;287.0
Narvarte;3;1;1;110;9800.0;2670.5;0.0
Roma;2;1;0;90;9450.0;2268.0;490.0
Santa Fe;2;1;1;85;9800.0;4410.0;0.0
Santa Fe;2;1;0;72;10150.0;2352.0;0.0
Santa Fe;2;1;1;85;7700.0;3850.0;483.0
Del Valle;3;1;1;130;9800.0;5250.0;700.0
Las Águilas;3;2;1;75;5950.0;2275.0;280.0
La Florida;3;1;1;73;4550.0;2677.5;266.0
Santa Fe;2;2;1;85;8400.0;4900.0;0.0
Santa Fe;2;1;1;85;9800.0;3850.0;0.0
Nueva Santa María;3;0;0;100;4900.0;875.0;0.0
Santa Fe;2;1;1;80;7000.0;3360.0;0.0
Narvarte;2;1;0;75;4392.5;3034.5;0.0
Santa Fe;2;2;1;75;9800.0;4550.0;560.0
San Rafael;2;0;2;80;7000.0;1050.0;350.0
Condesa;3;1;0;75;8400.0;2625.0;609.0
Del Valle;3;2;1;117;9800.0;3423.0;717.5
Santa Fe;2;1;1;81;5950.0;3850.0;350.0
Santa Fe;2;1;1;76;8050.0;3668.0;731.5
Narvarte;2;1;1;80;7700.0;2761.5;241.5
Santa Fe;2;1;1;105;9625.0;5194.0;0.0
Santa Fe;2;1;1;100;7000.0;5054.0;931.0
Narvarte;2;1;1;77;6300.0;2842.0;367.5
San Miguel Chapultepec;2;1;0;80;4200.0;1400.0;290.5
Juárez;3;0;0;100;7700.0;2520.0;675.5
Condesa;3;0;0;75;9800.0;3815.0;0.0
Santa Fe;4;2;2;118;10150.0;3500.0;700.0
Ciudad de los Deportes;2;1;0;97;2975.0;1942.5;0.0
Santa Fe;2;1;1;80;7350.0;3990.0;644.0
Condesa;3;1;0;134;8050.0;7000.0;0.0
Santa Fe;2;1;1;76;5950.0;5166.0;0.0
Santa Fe;3;2;1;118;7000.0;6125.0;525.0
San Ángel;2;1;0;80;9450.0;2450.0;427.0
Narvarte;3;1;1;81;7000.0;2100.0;311.5
Narvarte;2;0;0;80;4550.0;1155.0;87.5
Peralvillo;2;1;0;80;4900.0;2030.0;280.0
Santa Fe;3;2;1;110;9800.0;5908.0;1008.0
Narvarte;3;1;0;111;9450.0;2380.0;455.0
Centro Histórico;2;0;0;75;5950.0;2317.0;308.0
Narvarte;2;0;0;75;5600.0;735.0;178.5
Santa Fe;2;1;1;98;9450.0;5250.0;875.0
Santa Fe;4;2;2;146;10150.0;6825.0;910.0
Santa Fe;3;2;1;72;9450.0;2310.0;315.0
Condesa;3;1;1;240;9100.0;3304.0;1809.5
Narvarte;2;1;1;85;7000.0;2450.0;315.0
San Miguel Chapultepec;2;1;2;72;6650.0;2800.0;0.0
Roma Norte;2;0;0;77;4900.0;1039.5;49.0
Bosques de las Lomas;2;1;0;72;7350.0;3416.0;703.5
Santa Fe;2;1;1;75;5880.0;4200.0;560.0
Condesa;2;0;0;90;6650.0;2765.0;0.0
Santa Fe;2;1;2;90;9450.0;3500.0;969.5
Narvarte;3;1;0;115;6650.0;2520.0;455.0
Narvarte;4;1;1;98;9450.0;4830.0;490.0
San Rafael;2;1;1;90;5950.0;3150.0;0.0
Santa Fe;3;1;1;92;8575.0;4200.0;0.0
Del Valle;3;1;1;130;9450.0;4280.5;815.5
Santa Fe;2;1;1;93;8400.0;4914.0;0.0
San Miguel Chapultepec;3;1;0;100;6300.0;542.5;336.0
Narvarte;3;0;0;100;7700.0;3640.0;0.0
Condesa;3;0;1;100;9450.0;4200.0;525.0
Ciudad de los Deportes;3;1;2;136;5250.0;2079.0;0.0
Narvarte;2;1;0;75;6300.0;1225.0;224.0
Santa Fe;2;1;1;95;10398.5;6300.0;0.0
Santa Fe;3;2;1;110;8750.0;5099.5;913.5
Condesa;3;0;0;110;8750.0;4900.0;0.0
Santa Fe;2;1;1;75;7000.0;3493.0;728.0
San Pedro de los Pinos;2;0;0;72;3850.0;1487.5;45.5
El Contadero;2;1;0;99;5600.0;1155.0;0.0
Tlalpan;2;0;0;75;9450.0;2502.5;0.0
Condesa;3;0;0;74;8750.0;2625.0;532.0
Del Valle;2;1;1;87;9800.0;3976.0;609.0
Villa de Cortés;2;0;0;80;3850.0;927.5;0.0
Santa Fe;2;1;1;85;8400.0;3661.0;0.0
Santa Fe;2;1;1;84;7875.0;4571.0;0.0
Nativitas;2;1;0;80;3850.0;1225.0;0.0
Condesa;3;0;0;75;7000.0;1995.0;0.0
Condesa;2;0;0;76;7000.0;3150.0;350.0
Condesa;2;1;0;75;9800.0;3325.0;455.0
Narvarte;2;1;1;89;7700.0;2870.0;0.0
San Rafael;2;1;0;75;5250.0;2268.0;343.0
Nativitas;2;1;0;72;7000.0;2460.5;339.5
Condesa;3;0;1;189;8750.0;4921.0;1015.0
Condesa;2;0;0;95;7000.0;805.0;0.0
Narvarte;3;2;1;180;5250.0;7000.0;994.0
Santa Fe;2;1;1;83;6300.0;4900.0;0.0
Del Valle;3;0;0;108;9100.0;2835.0;0.0
Santa Fe;2;1;1;72;7000.0;3710.0;931.0
San Ángel;2;0;0;84;9450.0;2688.0;462.0
Polanco;4;3;2;150;8050.0;6709.5;0.0
Santa Fe;2;1;1;93;8750.0;4725.0;875.0
Condesa;2;0;1;100;8050.0;4690.0;556.5
Narvarte;2;0;0;80;5950.0;1592.5;98.0
Narvarte;2;1;1;87;9800.0;3325.0;574.0
Santa Fe;3;2;3;104;9100.0;2590.0;840.0
Santa Fe;2;2;1;168;7696.5;5600.0;0.0
Roma Norte;2;1;1;75;4550.0;2975.0;0.0
Santa Fe;3;1;1;105;8750.0;6212.5;910.0
San Miguel Chapultepec;2;1;1;86;5250.0;2919.0;301.0
Centro Histórico;2;0;0;75;8750.0;2317.0;280.0
Santa Fe;3;2;1;96;9800.0;4200.0;35.0
San Miguel Chapultepec;2;1;1;76;5250.0;2940.0;248.5
San Pedro de los Pinos;2;1;1;86;5950.0;2940.0;420.0
Santa Fe;3;2;3;110;9450.0;5197.5;917.0
Condesa;2;0;0;80;7700.0;2292.5;350.0
Condesa;3;0;0;113;8050.0;3850.0;0.0
Villa de Cortés;3;0;0;75;3850.0;647.5;0.0
Centro Histórico;2;0;0;90;7350.0;1995.0;140.0
Narvarte;3;2;1;125;9975.0;3395.0;525.0
Condesa;3;1;1;240;9100.0;3304.0;1809.5
San Miguel Chapultepec;3;0;0;75;5950.0;1848.0;259.0
Del Valle;2;0;0;80;5775.0;3150.0;280.0
Santa Fe;3;1;1;87;6650.0;4557.0;0.0
Santa Fe;3;1;1;82;8750.0;4305.0;941.5
Tlalnepantla;3;0;1;106;6300.0;2275.0;0.0
Santa Fe;2;1;0;71;5600.0;4214.0;742.0
Peralvillo;2;1;0;78;3850.0;1995.0;63.0
Condesa;3;1;0;148;9100.0;5005.0;0.0
Santa Fe;2;1;1;82;7350.0;4725.0;3850.0
Santa Fe;3;2;1;77;5950.0;4200.0;7108.5
Narvarte;2;1;0;76;7350.0;3615.5;434.0
Narvarte;4;2;1;125;10325.0;5355.0;689.5
Narvarte;3;1;1;120;6300.0;4158.0;595.0
Santa Fe;3;1;0;72;7700.0;2100.0;0.0
Santa Fe;2;1;2;94;7700.0;3325.0;840.0
Santa Fe;3;2;1;113;9800.0;5425.0;630.0
Del Valle;3;1;1;127;8750.0;3367.0;0.0
Narvarte;3;0;0;90;6300.0;3055.5;262.5
Narvarte;4;2;1;188;7000.0;7000.0;1081.5
Narvarte;2;1;0;112;6300.0;1172.5;469.0
La Florida;3;2;2;91;4200.0;1837.5;371.0
Santa Fe;3;2;1;100;7700.0;5600.0;1225.0
Condesa;2;0;0;80;7000.0;2800.0;525.0
Narvarte;2;1;0;75;7000.0;2065.0;262.5
Narvarte;2;1;1;103;9100.0;1925.0;525.0
Narvarte;3;2;1;132;9800.0;4256.0;700.0
Bosques de las Lomas;2;0;0;90;7350.0;6300.0;1400.0
Del Valle;3;0;1;120;7700.0;2100.0;0.0
Santa Fe;2;1;1;90;10325.0;5005.0;700.0
Las Águilas;4;2;2;230;8400.0;2863.0;1067.5
Santa Fe;3;1;1;90;6650.0;4200.0;343.0
Condesa;3;1;0;122;9450.0;4907.0;654.5
Arboledas;2;1;1;73;4200.0;2558.5;45.5
Santa Fe;2;1;1;75;5425.0;2765.0;0.0
Narvarte;2;1;0;90;9800.0;2800.0;245.0
Santa Fe;2;1;1;85;7700.0;4025.0;892.5
Condesa;3;0;1;156;8750.0;3444.0;868.0
Condesa;2;0;0;71;9800.0;2992.5;476.0
Condesa;3;0;1;90;8225.0;4329.5;430.5
Narvarte;3;2;0;126;7000.0;1925.0;3850.0
Santa Fe;2;1;1;75;8050.0;2856.0;784.0
Napoles;2;0;0;75;8400.0;3073.0;0.0
Santa Fe;2;1;1;90;7700.0;4900.0;0.0
Narvarte;3;0;1;75;8050.0;2100.0;525.0
Santa Fe;2;1;1;77;4200.0;4469.5;0.0
Nativitas;2;1;0;75;4550.0;1715.0;0.0
Narvarte;3;1;1;99;6300.0;2485.0;0.0
Santa Fe;3;2;1;172;8050.0;5600.0;1575.0
Juárez;2;1;0;71;7700.0;2537.5;381.5
Peralvillo;3;1;0;86;3500.0;2345.0;294.0
Condesa;2;1;0;80;5250.0;2583.0;805.0
Santa Fe;2;2;1;90;9800.0;3500.0;350.0
Santa Fe;3;2;1;120;10150.0;6300.0;0.0
Narvarte;3;0;1;110;8750.0;2450.0;525.0
Santa Fe;2;1;1;74;9100.0;4655.0;770.0
Condesa;2;0;0;80;7700.0;2380.0;605.5
San Miguel Chapultepec;2;1;0;75;5250.0;1610.0;315.0
Roma;3;1;1;108;9800.0;4060.0;826.0
Narvarte;3;2;1;120;9030.0;3241.0;654.5
San Miguel Chapultepec;2;1;0;80;4900.0;2191.0;178.5
Santa Fe;3;2;1;172;8050.0;5600.0;1575.0
Santa Fe;2;1;2;80;8400.0;4550.0;6300.0
Narvarte;3;1;1;81;6125.0;2086.0;311.5
Santa Fe;2;1;1;78;7350.0;3115.0;490.0
Santa Fe;2;1;1;90;9800.0;3850.0;420.0
Santa Fe;3;2;1;140;8050.0;5600.0;1575.0
Santa Fe;2;1;1;100;9100.0;5950.0;815.5
La Condesa;2;0;0;112;8050.0;2737.0;679.0
El Contadero;3;1;1;90;7000.0;1330.0;3493.0
San Pedro de los Pinos;2;1;0;72;4550.0;2765.0;0.0
San Rafael;2;2;1;88;6300.0;2380.0;350.0
Santa Fe;2;1;1;95;9100.0;6300.0;980.0
Condesa;2;1;0;127;8750.0;3958.5;882.0
La Condesa;3;0;0;92;8750.0;1645.0;0.0
San Pedro de los Pinos;3;1;0;84;6300.0;5250.0;0.0
Santa Fe;2;1;1;84;9450.0;4487.0;0.0
Condesa;2;0;0;100;8400.0;3290.0;0.0
Santa Fe;2;1;1;72;7350.0;4200.0;805.0
Roma;2;1;1;90;7000.0;4200.0;437.5
San Miguel Chapultepec;2;0;0;71;3850.0;1837.5;73.5
Santa Fe;2;1;1;98;10150.0;3780.0;581.0
Condesa;3;0;0;125;10150.0;2870.0;469.0
Santa Fe;2;1;0;100;8750.0;6002.5;1186.5
Roma Norte;3;2;1;110;6650.0;3115.0;301.0
Condesa;2;0;0;75;9625.0;2800.0;122.5
Arboledas;2;0;0;90;3850.0;1120.0;45.5
Condesa;2;0;0;80;6300.0;2194.5;0.0
Santa Fe;2;1;1;88;9625.0;3885.0;938.0
Nativitas;3;1;2;80;5250.0;2275.0;2296.0
Narvarte;3;0;0;80;5950.0;1750.0;175.0
Santa Fe;2;1;0;85;6300.0;4032.0;822.5
Centro Histórico;3;1;0;100;8400.0;2275.0;231.0
Narvarte;2;0;0;90;6125.0;2537.5;105.0
Narvarte;2;0;0;80;5600.0;2415.0;80.5
San Andrés Tetepilco;4;2;1;121;8050.0;2100.0;0.0
Condesa;3;1;0;78;8750.0;3262.0;612.5
Condesa;2;0;0;110;8750.0;3647.0;420.0
San Miguel Chapultepec;2;1;0;75;4200.0;2100.0;0.0
Nativitas;2;1;0;81;3500.0;1172.5;105.0
Santa Fe;2;1;1;84;8750.0;7297.5;927.5
El Contadero;2;1;1;100;8750.0;1750.0;0.0
San Pedro de los Pinos;2;1;1;75;8750.0;4725.0;0.0
Santa Fe;3;1;1;85;7700.0;2390.5;315.0
Narvarte;3;1;1;85;7350.0;2205.0;406.0
El Contadero;2;1;1;86;6300.0;1417.5;325.5
Peralvillo;2;1;0;77;4550.0;1764.0;252.0
Santa Fe;3;1;1;82;7700.0;2905.0;0.0
Narvarte;2;1;1;86;4200.0;1869.0;336.0
Santa Fe;2;1;1;86;9100.0;5173.0;528.5
Santa Fe;2;1;1;90;9800.0;4207.0;931.0
Narvarte;2;1;1;85;5950.0;2730.0;350.0
Narvarte;2;1;0;97;8050.0;2922.5;364.0
Narvarte;2;1;0;86;6650.0;2527.0;521.5
Narvarte;3;0;0;84;5950.0;2765.0;6405.0
Narvarte;3;0;1;91;9800.0;1575.0;0.0
Santa Fe;3;2;1;95;5600.0;4375.0;0.0
Condesa;2;0;0;83;9450.0;2096.5;598.5
Condesa;2;0;0;80;8750.0;2730.0;787.5
Santa Fe;3;1;1;80;8750.0;4333.0;679.0
Condesa;3;0;0;120;9100.0;4161.5;539.0
San Rafael;2;1;1;77;4900.0;2275.0;367.5
Santa Fe;2;1;1;81;5950.0;4025.0;525.0
Narvarte;3;1;0;73;6650.0;2233.0;0.0
Condesa;3;1;0;101;7700.0;5145.0;770.0
Narvarte;2;0;0;71;5670.0;1050.0;0.0
Narvarte;2;1;0;90;5250.0;2800.0;273.0
Roma Norte;2;0;1;110;4200.0;1050.0;0.0
Condesa;2;1;0;72;7875.0;2800.0;140.0
Villa de Guadalupe;3;1;1;85;5950.0;1960.0;525.0
Roma;3;0;0;157;9450.0;3395.0;700.0
Peralvillo;4;1;2;178;6650.0;3850.0;945.0
Condesa;3;0;0;120;9450.0;2800.0;0.0
Narvarte;2;0;0;80;4550.0;2992.5;0.0
Santa Fe;2;1;1;92;9100.0;4375.0;0.0
San Miguel Chapultepec;2;0;0;80;5250.0;1155.0;0.0
Santa Fe;2;1;1;90;7875.0;3874.5;773.5
Narvarte;3;1;0;100;7700.0;3272.5;0.0
Narvarte;3;1;1;120;7700.0;3150.0;5320.0
San Miguel Chapultepec;3;1;1;98;4550.0;1851.5;353.5
Santa Fe;2;1;1;82;8750.0;4550.0;0.0
Nueva Santa María;2;0;0;89;3675.0;875.0;84.0
San Miguel Chapultepec;2;0;1;80;3850.0;2975.0;0.0
Vallejo;2;1;1;85;4550.0;1540.0;0.0
Condesa;2;0;0;80;9450.0;2415.0;619.5
San Miguel Chapultepec;3;1;0;71;6300.0;2205.0;245.0
Santa Fe;3;1;1;72;7350.0;2310.0;385.0
Bosques de las Lomas;2;1;1;85;9800.0;3010.0;710.5
Centro Histórico;2;0;0;80;4200.0;1788.5;0.0
Del Valle;4;0;0;101;8050.0;2684.5;0.0
Villa Coapa;3;0;0;85;2975.0;700.0;45.5
Narvarte;3;0;1;90;8050.0;2275.0;350.0
Ciudad de los Deportes;3;1;2;123;4900.0;2450.0;0.0
San Rafael;2;1;0;72;5250.0;1645.0;0.0
La Virgen;2;1;0;79;3850.0;1900.5;0.0
Santa Fe;2;1;1;99;7000.0;2730.0;647.5
Narvarte;3;1;1;74;8750.0;3087.0;416.5
Santa Fe;2;1;1;95;7700.0;3850.0;938.0
Condesa;3;0;0;103;8750.0;4704.0;574.0
Ciudad de los Deportes;3;0;0;85;4550.0;1295.0;472.5
Polanco;3;1;0;90;8750.0;4025.0;4900.0
Santa Fe;3;2;1;126;9800.0;5250.0;815.5
Condesa;2;0;0;111;9100.0;4077.5;0.0
Nativitas;2;0;0;84;3500.0;2135.0;315.0
San Rafael;3;0;0;86;6300.0;1260.0;367.5
Santa Fe;3;1;1;80;9800.0;4550.0;490.0
San Miguel Chapultepec;2;1;0;76;4550.0;1890.0;70.0
Santa Fe;2;1;1;72;5250.0;2625.0;1925.0
Santa Fe;2;1;1;75;8400.0;3713.5;756.0
Peralvillo;3;1;0;73;4900.0;1925.0;273.0
San Jerónimo;2;1;0;85;8400.0;2660.0;500.5
Condesa;2;1;0;80;8750.0;2261.0;0.0
Santa Fe;2;1;1;80;9800.0;3080.0;0.0
Narvarte;2;1;1;75;6650.0;2093.0;0.0
Las Águilas;2;0;2;85;6650.0;3913.0;0.0
Narvarte;3;1;1;90;7000.0;3430.0;0.0
Napoles;2;1;1;82;9100.0;3199.0;448.0
Napoles;2;0;0;75;9450.0;3073.0;0.0
Condesa;3;0;1;115;10150.0;6650.0;665.0
Santa Fe;2;1;1;80;7000.0;4102.0;262.5
Napoles;2;1;1;80;9450.0;2922.5;759.5
Polanco;2;1;1;71;7000.0;3339.0;745.5
Santa Fe;3;2;3;120;9800.0;4480.0;1260.0
Narvarte;3;1;0;86;6650.0;2362.5;385.0
Condesa;2;0;0;81;8330.0;1400.0;0.0
Nativitas;2;1;0;81;7700.0;3307.5;329.0
Santa Fe;2;1;1;72;9100.0;2789.5;2352.0
Santa Fe;2;1;1;80;7350.0;4077.5;399.0
Santa Fe;2;2;1;83;8050.0;3440.5;1218.0
Polanco;2;2;1;74;10325.0;4980.5;878.5
Del Valle;3;0;0;80;7700.0;1155.0;311.5
San Miguel Chapultepec;2;1;0;87;5600.0;1760.5;70.0
Santa Fe;2;1;1;82;7000.0;4270.0;665.0
Santa Fe;2;2;1;86;6650.0;4550.0;402.5
Nativitas;2;1;0;91;3150.0;1190.0;0.0
Santa Fe;2;1;1;71;6650.0;1715.0;280.0
Narvarte;3;1;1;115;8750.0;4200.0;0.0
Peralvillo;3;2;1;108;4550.0;2793.0;406.0
Santa Fe;2;1;1;89;8050.0;5075.0;717.5
Peralvillo;2;1;0;80;3500.0;1330.0;0.0
Del Valle;2;1;1;88;8750.0;2929.5;658.0
Santa Fe;2;2;1;105;5250.0;7402.5;0.0
Polanco;3;0;1;110;9450.0;5250.0;0.0
Santa Fe;3;1;1;96;9800.0;3430.0;315.0
Centro Histórico;3;1;1;94;5950.0;3010.0;269.5
Narvarte;2;1;0;80;8050.0;2317.0;0.0
Polanco;2;1;1;80;10150.0;4725.0;560.0
Santa Fe;2;1;1;78;7000.0;2975.0;707.0
Tlalpan;2;0;0;80;9100.0;1855.0;294.0
Peralvillo;3;1;1;76;5250.0;2450.0;2800.0
Condesa;3;0;0;110;9450.0;3500.0;70.0
Napoles;2;0;0;87;9100.0;2520.0;710.5
Narvarte;3;1;1;140;9800.0;4410.0;0.0
Napoles;3;1;0;97;9800.0;3685.5;654.5
Napoles;2;0;0;75;9450.0;3073.0;0.0
Del Valle;2;1;0;80;8050.0;2516.5;325.5
Santa Fe;2;1;1;85;8750.0;3773.0;591.5
Narvarte;3;1;0;77;7350.0;2667.0;318.5
Juárez;2;1;0;71;7700.0;2537.5;381.5
Narvarte;3;0;0;110;5250.0;2380.0;297.5
El Contadero;3;2;1;200;6825.0;1960.0;682.5
Condesa;2;1;0;80;9800.0;2975.0;420.0
La Condesa;2;0;0;90;7350.0;2800.0;458.5
Narvarte;2;1;0;75;8050.0;1750.0;0.0
Roma;2;0;1;82;9100.0;2905.0;0.0
Del Valle;3;0;0;108;9100.0;3150.0;0.0
Condesa;2;0;0;84;9800.0;2387.0;402.5
Santa Fe;2;1;1;74;9800.0;4410.0;756.0
Santa Fe;2;1;1;93;9100.0;2800.0;787.5
Condesa;2;1;0;74;10325.0;4025.0;479.5
Santa Fe;2;1;0;78;8400.0;4200.0;269.5
La Florida;3;2;1;154;5950.0;2625.0;878.5
Santa Fe;3;2;1;114;5250.0;4945.5;0.0
Santa Fe;2;1;1;90;7350.0;5215.0;4763.5
Santa Fe;2;2;1;180;8050.0;5600.0;0.0
Santa Fe;2;1;1;82;6300.0;2940.0;385.0
Condesa;2;0;0;90;8225.0;3374.0;371.0
Santa Fe;3;2;1;80;8225.0;4154.5;612.5
Narvarte;2;0;0;75;4900.0;2275.0;238.0
Ciudad de los Deportes;2;1;1;79;5250.0;2030.0;273.0
Santa Fe;2;1;2;95;7525.0;8568.0;1522.5
Narvarte;3;0;1;80;6300.0;2275.0;4025.0
Santa Fe;2;1;1;80;7700.0;4200.0;875.0
Santa Fe;3;2;1;100;9800.0;5250.0;875.0
Santa Fe;2;1;1;75;8575.0;4375.0;679.0
Roma;3;1;1;120;8750.0;4200.0;700.0
El Contadero;3;1;1;110;9800.0;1925.0;630.0
Narvarte;2;1;1;81;5250.0;3080.0;227.5
Roma;2;1;1;75;7700.0;4620.0;574.0
Santa Fe;3;2;1;95;8050.0;2975.0;672.0
Santa Fe;2;1;1;81;9450.0;4574.5;815.5
Narvarte;3;0;0;80;6475.0;2065.0;350.0
Santa Fe;2;1;1;78;9800.0;3675.0;0.0
Narvarte;3;1;0;80;6300.0;2975.0;315.0
Narvarte;2;0;0;71;4550.0;2082.5;185.5
Santa Fe;3;3;1;84;7700.0;3850.0;6730.5
Santa Fe;2;1;1;78;8750.0;4200.0;262.5
Condesa;3;0;1;100;10150.0;3115.0;0.0
Narvarte;2;0;0;90;5250.0;1680.0;0.0
Álvaro Obregón;3;1;1;85;4550.0;1050.0;0.0
Santa Fe;2;1;1;101;5250.0;8067.5;1067.5
Del Valle;2;1;0;105;9800.0;2852.5;525.0
Santa Fe;2;1;1;85;8050.0;4112.5;728.0
Roma;3;0;0;78;9625.0;1435.0;427.0
Bosques de las Lomas;2;0;2;82;8750.0;3710.0;0.0
Narvarte;2;1;1;75;6300.0;2345.0;175.0
Santa Fe;3;1;1;95;7000.0;4900.0;0.0
Narvarte;3;1;1;100;5600.0;1120.0;315.0
Santa Fe;3;1;1;90;9100.0;4200.0;0.0
Zacatenco;4;2;1;144;7700.0;1662.5;350.0
Roma;3;1;1;81;9800.0;3080.0;658.0
Narvarte;2;2;1;90;7000.0;3850.0;0.0
Santa Fe;2;1;2;90;9100.0;4550.0;0.0
La Condesa;2;0;0;85;7000.0;2803.5;360.5
Condesa;2;0;0;79;9450.0;2905.0;472.5
Narvarte;2;1;1;75;6300.0;2170.0;525.0
Santa Fe;2;1;1;72;8750.0;3500.0;0.0
Condesa;2;0;0;72;7700.0;2653.0;0.0
San Miguel Chapultepec;2;1;0;75;6300.0;875.0;70.0
Santa Fe;3;1;1;97;8050.0;2625.0;0.0
Santa Fe;2;2;1;73;9100.0;4550.0;4900.0
Narvarte;2;1;1;86;8750.0;2474.5;0.0
Narvarte;3;0;0;72;4550.0;1876.0;245.0
Iztapalapa;3;1;1;115;7000.0;2030.0;560.0
Condesa;2;1;0;95;8750.0;5285.0;696.5
Santa Fe;3;1;1;95;8400.0;4200.0;8445.5
Narvarte;2;0;0;85;5145.0;1925.0;273.0
Roma;3;1;1;130;9100.0;4200.0;455.0
La Florida;2;2;1;90;4200.0;1326.5;308.0
Condesa;2;0;0;75;8750.0;2674.0;91.0
Narvarte;2;1;1;80;9800.0;3325.0;367.5
Narvarte;3;1;0;107;7700.0;2100.0;504.0
Narvarte;3;0;0;80;8750.0;3150.0;0.0
Santa Fe;2;1;1;76;8400.0;4550.0;6650.0
Narvarte;3;0;0;100;6300.0;2695.0;542.5
Narvarte;3;1;0;99;6300.0;2352.0;399.0
Narvarte;2;1;1;87;9450.0;2450.0;707.0
Narvarte;3;1;0;102;5950.0;2191.0;0.0
Santa Fe;2;1;2;80;4550.0;3815.0;248.5
Narvarte;3;2;1;84;8225.0;3325.0;3115.0
San Miguel Chapultepec;2;0;0;80;5250.0;1204.0;84.0
San Miguel Chapultepec;3;2;0;200;8750.0;5250.0;455.0
Napoles;2;0;0;77;8400.0;1785.0;248.5
Santa Fe;2;1;1;80;9800.0;4550.0;476.0
Narvarte;3;1;1;79;8400.0;3524.5;0.0
Del Valle;3;0;0;89;8750.0;1225.0;0.0
Narvarte;2;1;1;90;4900.0;3150.0;630.0
San Miguel Chapultepec;3;2;1;140;7000.0;4550.0;507.5
Narvarte;3;1;1;112;7700.0;2835.0;0.0
Santa Fe;3;0;0;91;7700.0;4900.0;3675.0
Roma Norte;3;0;0;75;3500.0;1050.0;115.5
Roma;3;1;1;90;9800.0;5250.0;630.0
Nativitas;3;2;1;105;6650.0;1365.0;420.0
Narvarte;2;0;0;90;6300.0;2187.5;402.5
Narvarte;3;0;0;137;4200.0;3255.0;637.0
Nueva Santa María;2;1;0;75;3500.0;1060.5;59.5
San Miguel Chapultepec;2;1;0;90;5600.0;1767.5;311.5
Condesa;2;0;0;87;9800.0;2992.5;0.0
Roma Norte;3;1;1;79;7350.0;3150.0;0.0
Santa Fe;2;2;1;86;9275.0;5309.5;959.0
Santa Fe;3;2;1;110;9800.0;4172.0;0.0
Narvarte;3;1;0;80;5600.0;1575.0;0.0
Narvarte;3;0;0;79;7350.0;2674.0;0.0
Roma;2;1;0;100;10150.0;3083.5;451.5
Del Valle;2;1;1;72;8750.0;2625.0;315.0
Santa Fe;2;1;2;93;8750.0;4725.0;983.5
Roma;3;1;0;95;8750.0;2894.5;588.0
Santa Fe;2;1;2;80;8050.0;3332.0;0.0
Narvarte;2;0;0;101;4900.0;2194.5;318.5
Del Valle;3;0;0;130;9800.0;3202.5;465.5
Narvarte;3;0;0;105;6300.0;2660.0;448.0
Nativitas;2;1;0;75;4550.0;1715.0;0.0
Narvarte;2;0;0;80;5600.0;777.0;87.5
Narvarte;3;1;1;80;10150.0;3867.5;0.0
Narvarte;3;1;1;85;7000.0;4585.0;329.0
Peralvillo;3;1;1;76;5075.0;2380.0;332.5
Santa Fe;2;1;2;85;8750.0;7000.0;10850.0
Nativitas;2;0;1;76;5600.0;2450.0;0.0
Santa Fe;3;1;1;73;7350.0;2170.0;0.0
Narvarte;2;0;0;102;7000.0;2450.0;0.0
Narvarte;3;1;0;91;7000.0;3104.5;427.0
Santa Fe;2;1;2;83;8365.0;5355.0;966.0
Ciudad de los Deportes;2;1;0;74;2100.0;875.0;56.0
Centro Histórico;3;0;0;90;7350.0;1925.0;175.0
Santa Fe;3;2;1;140;9450.0;5600.0;15750.0
Condesa;3;1;0;110;9975.0;5250.0;595.0
Santa Fe;2;2;1;107;10150.0;4364.5;9821.0
Condesa;2;0;1;130;10150.0;4900.0;665.0
Narvarte;3;1;1;98;8400.0;2310.0;395.5
Napoles;2;0;0;75;9100.0;3073.0;0.0
Condesa;3;1;0;100;8750.0;4214.0;0.0
Santa Fe;4;2;1;158;8750.0;5677.0;1414.0
San Miguel Chapultepec;2;2;0;90;7350.0;1050.0;329.0
Del Valle;2;1;0;75;7000.0;3132.5;374.5
Narvarte;2;1;0;74;5600.0;3010.0;290.5
Roma;2;1;1;103;10325.0;3591.0;752.5
